"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
24.97,41,3,"2023-10-31 03:27:49",0.034329,8.43866761468381e-05,21.7600909090909,0.000291287632501532,47.35,0.0527046276694737,0.051986,0.000120111059718356,20.95,0.000291287632501089,47.23,0.0483045891539621
24.947,41,4,"2023-10-31 03:36:19",0.21567,0.000629020402424806,21.515287878788,0.00116298119181712,47.39,0.0316227766016842,0.05192,9.10433352249859e-05,20.95,0.000302625992906909,47.21,0.031622776601682
24.957,41,5,"2023-10-31 03:44:49",0.22863,0.00034657049948187,21.555409090909,0.000412351391456886,47.38,0.042163702135579,0.052462,0.000112130875914412,20.95,0.000259499648054112,47.28,0.042163702135576
24.97,41,6,"2023-10-31 03:53:19",0.27406,0.000631048510197288,21.5654121212122,0.000413574383930752,47.4,0,0.052527,0.00011926161718396,20.95,0.000302625992906569,47.27,0.0483045891539621
24.97,41,8,"2023-10-31 04:10:19",0.91679,0.00238348484366903,21.0488545454545,0.00144250063459827,47.5,0,0.052996,0.00012075687236022,20.95,0.000288966578520616,47.2,0
24.948,41,9,"2023-10-31 04:18:49",0.7786,0.00150259035594461,21.1345090909091,0.00110645489028925,47.5,0,0.054716,0.000114910593264696,20.95,0.00047989897926989,47.2,0
24.96,41,10,"2023-10-31 04:29:49",0.51327,0.000411096095821886,20.8223181818182,0.000571194035563116,47.34,0.051639777949433,0.054502,0.000142189232284929,20.95,0.000504524979109561,47.23,0.0483045891539621
25.02,42,1,"2023-10-31 05:10:58",0.006088,5.3291650377897e-05,21.8714696969697,0.000360041149911599,47.26,0.0516397779494293,0.051916,5.62138772902199e-05,20.95,0.000415199436886653,47.2,0
25.036,42,2,"2023-10-31 05:19:28",0.041838,0.0001201665510864,21.7831,0.000316227766017224,47.27,0.0483045891539621,0.051839,0.000110800120336879,20.95,0,47.18,0.042163702135579
25.03,42,3,"2023-10-31 05:27:58",0.033689,9.14634110207765e-05,21.7567272727274,0.000269679944984881,47.27,0.0483045891539621,0.051836,0.000135334975359496,20.95,0.000269679944986105,47.18,0.042163702135579
25.031,42,4,"2023-10-31 05:36:28",0.20733,0.000525039681040076,21.5206000000001,0.00117378779077527,47.29,0.119721899973785,0.05183,0.00014560219778561,20.95,2.64803643013042e-15,47.2,0
24.98,42,5,"2023-10-31 05:44:58",0.21782,0.00026583202716503,21.5529151515151,3.66987921713799e-05,47.3,0,0.052253,7.48405712906513e-05,20.95,0.000420036875085053,47.14,0.051639777949433
24.953,42,6,"2023-10-31 05:53:28",0.2599,0.000494413232473047,21.5698636363637,0.000714684833174598,47.4,0,0.052378,8.5088189544729e-05,20.95,0.000315694947160457,47.21,0.031622776601682
24.627,42,8,"2023-10-31 06:10:28",0.82989,0.00234447340687745,21.1034818181818,0.00147401739227562,47.7,0,0.052776,8.98393628155899e-05,20.95,0.000269679944984535,47.3,0
25.268,42,9,"2023-10-31 06:18:58",0.70834,0.00149606892295181,21.181609090909,0.000913976769594936,47.6,0,0.054432,0.000156190766550252,20.95,0.000311399577663883,47.36,0.051639777949433
25.744,42,10,"2023-10-31 06:29:58",0.51386,0.000236643191323991,20.8390000000002,3.74488903314848e-15,47.4,0,0.054357,0.000116623801649196,20.95,4.26983044531917e-15,47.23,0.0483045891539621
24.957,43,1,"2023-10-31 07:11:07",0.005959,0.000106609359605785,21.8644606060605,0.000509835914711908,47.3,0,0.052438,9.91967741410976e-05,20.95,0.00025949964805319,47.3,0
24.88,43,2,"2023-10-31 07:19:37",0.040356,8.05812219647562e-05,21.7802393939395,0.000376498129807769,47.37,0.0483045891539655,0.052406,0.000107517440445726,20.95,0.000395258088125366,47.26,0.0516397779494293
24.63,43,3,"2023-10-31 07:28:07",0.032939,6.297265720577e-05,21.7637606060606,0.000723115221035579,47.5,0,0.052268,9.43751379689937e-05,20.95,0.000259499648053513,47.3,0
24.57,43,4,"2023-10-31 07:36:37",0.20027,0.000432177946889685,21.5318,0.00103279555898922,47.54,0.051639777949433,0.052303,0.000116337631248211,20.95,0,47.44,0.051639777949433
24.607,43,5,"2023-10-31 07:45:07",0.20846,0.000320416395751947,21.5490999999999,0.000737864787373684,47.58,0.042163702135579,0.052897,8.85751407312194e-05,20.95,2.368475785867e-15,47.32,0.042163702135579
24.43,43,6,"2023-10-31 07:53:37",0.24682,0.000608824003030977,21.5923909090908,0.00032255294765428,47.6,0,0.052966,8.16768701108888e-05,20.95,0.000359573259979358,47.33,0.0483045891539655
24.47,43,8,"2023-10-31 08:10:37",0.74814,0.00192999712147165,21.1514272727271,0.00101454074797467,47.73,0.0483045891539621,0.053544,5.89161362540953e-05,20.95,0.000363299507275057,47.49,0.0316227766016842
24.578,43,9,"2023-10-31 08:19:07",0.64346,0.000790499139081673,21.2194272727273,0.00100587499808999,47.69,0.0316227766016842,0.054836,8.55310210131713e-05,20.95,0.000420036875083532,47.41,0.0316227766016842
24.31,43,10,"2023-10-31 08:30:07",0.51332,0.000580804040389999,20.8515818181817,0.000479898979267766,47.7,0,0.054677,0.000128931506364168,20.95,0.000269679944985706,47.55,0.0527046276694737
24.44,44,1,"2023-10-31 09:11:16",0.006076,7.70569774762661e-05,21.8757272727274,0.000674699084941737,47.5,0,0.053108,7.75743371082072e-05,20.95,0.000363299507274695,47.5,0
24.539,44,2,"2023-10-31 09:19:46",0.039491,0.000130081171239774,21.7914818181818,0.000307591928719563,47.58,0.042163702135579,0.054471,9.29097531060232e-05,20.95,0.000302625992907162,47.42,0.042163702135579
24.536,44,3,"2023-10-31 09:28:16",0.032671,6.52261024778e-05,21.7576909090909,0.000446460075846494,47.5,0,0.056351,0.000137554029788702,20.95,0.000395258088124997,47.41,0.0316227766016842
24.404,44,4,"2023-10-31 09:36:46",0.19387,0.000402906109823784,21.5425636363636,0.00137657164541176,47.64,0.051639777949433,0.058299,0.00015765292399586,20.95,0.000359573259980915,47.5,0
24.57,44,5,"2023-10-31 09:45:16",0.20051,0.000392852813828964,21.5780636363636,0.000426796066236532,47.51,0.0316227766016842,0.060722,0.000153897512794861,20.95,0.000315694947161169,47.5,0
24.68,44,6,"2023-10-31 09:53:46",0.23709,0.000542524961023299,21.5962363636364,0.000722882371176997,47.5,0,0.060454,8.73307887670012e-05,20.95,0.000526726757854282,47.4,0
24.886,44,8,"2023-10-31 10:10:46",0.68175,0.00211095028627184,21.2026818181818,0.00140045687590937,47.5,0,0.064607,0.000145529683875451,20.95,0.000518999296106841,47.4,0
24.63,44,9,"2023-10-31 10:19:16",0.5909,0.000888194172964941,21.2635090909091,0.00140561643977379,47.58,0.042163702135579,0.067914,0.000159805437259746,20.95,0.000291287632502173,47.37,0.0483045891539655
24.81,44,10,"2023-10-31 10:30:16",0.51434,0.000389301368550828,20.8709000000001,0.000605530070821803,47.58,0.042163702135579,0.068201,0.000156875747010176,20.95,0.000298142397000072,47.43,0.0483045891539655
24.22,0,1,"2023-11-06 13:54:41",0.007078,0.000118114821724926,21.8670787878787,0.000862226387574376,47.2,0,0.074022,0.000199822143139567,20.95,0.000368818296763302,47.1,0
24.23,0,2,"2023-11-06 14:03:11",0.013089,8.98702768809948e-05,21.8881484848484,0.000336850135025692,47.18,0.042163702135579,0.072601,9.88208255154543e-05,20.95,0.00036329950727509,47.04,0.051639777949433
